"Recipe Name";"Type of Dish";"Main Ingredient";"Cuisine";"Cooking Method";"Prep Time";"Cook Time";"Instructions"
"Beef Stroganoff";"Main Course";"Beef";"Russian";"Sautéing";"15 minutes";"30 minutes";"Heat oil in a large pan over medium heat. Add beef strips and cook until browned. Remove beef and set aside. In the same pan, sauté onions and garlic until translucent. Add mushrooms and cook until tender. Stir in flour and cook for 1 minute. Gradually add beef broth and sour cream, stirring until smooth. Return beef to the pan and simmer until cooked through. Serve over egg noodles or rice."
"Chicken Alfredo";"Main Course";"Chicken";"Italian";"Sautéing";"15 minutes";"20 minutes";"Cook pasta according to package instructions. In a large skillet, heat butter and sauté garlic until fragrant. Add chicken and cook until no longer pink. Stir in cream and Parmesan cheese, and cook until the sauce thickens. Toss in cooked pasta and season with salt and pepper. Garnish with parsley and serve."
"Greek Salad";"Appetizer";"Tomato";"Greek";"Tossing";"10 minutes";"0 minutes";"In a large bowl, combine chopped tomatoes, cucumbers, red onions, and Kalamata olives. Add crumbled feta cheese and fresh oregano. Toss with olive oil and lemon juice. Season with salt and pepper to taste. Serve chilled or at room temperature."
"Vegetable Stir-Fry";"Main Course";"Vegetables";"Asian";"Stir-Frying";"10 minutes";"15 minutes";"Heat oil in a wok or large pan over high heat. Add chopped garlic and ginger, then stir-fry for 1 minute. Add mixed vegetables (bell peppers, broccoli, carrots) and cook until just tender. Stir in soy sauce and a pinch of sugar. Cook for an additional 2 minutes. Serve with rice or noodles."
"Lasagna";"Main Course";"Beef";"Italian";"Baking";"30 minutes";"60 minutes";"Preheat oven to 180°C (350°F). In a large skillet, cook ground beef with onions and garlic until browned. Stir in tomato sauce and herbs. In a separate bowl, mix ricotta cheese with egg and Parmesan. Spread a layer of meat sauce in a baking dish, followed by a layer of lasagna noodles, then a layer of cheese mixture. Repeat layers and top with mozzarella cheese. Bake for 45 minutes. Let cool before serving."
"Chicken Parmesan";"Main Course";"Chicken";"Italian";"Baking";"20 minutes";"30 minutes";"Preheat oven to 200°C (400°F). Pound chicken breasts to an even thickness. Dredge in flour, dip in beaten egg, and coat with breadcrumbs. Fry in olive oil until golden brown. Place chicken in a baking dish, top with marinara sauce and mozzarella cheese. Bake for 20-25 minutes until chicken is cooked through and cheese is melted. Serve with spaghetti."
"Vegetable Soup";"Appetizer";"Vegetables";"Western";"Simmering";"15 minutes";"30 minutes";"In a large pot, heat olive oil and sauté onions, garlic, and celery until softened. Add chopped vegetables (carrots, potatoes, green beans) and vegetable broth. Bring to a boil, then reduce heat and simmer until vegetables are tender. Season with salt, pepper, and herbs. Serve hot with crusty bread."
"Beef Tacos";"Main Course";"Beef";"Mexican";"Grilling";"10 minutes";"15 minutes";"Season ground beef with taco seasoning and cook in a skillet until browned. Warm taco shells or tortillas. Fill each shell with beef, shredded lettuce, diced tomatoes, and cheese. Top with salsa and a squeeze of lime juice. Serve with a side of sour cream and guacamole."
"Quiche Lorraine";"Main Course";"Eggs";"French";"Baking";"20 minutes";"40 minutes";"Preheat oven to 180°C (350°F). Prepare pie crust and fit into a pie dish. In a bowl, whisk together eggs, cream, salt, and pepper. Stir in cooked bacon and grated cheese. Pour into pie crust and bake for 35-40 minutes until set and golden brown. Let cool slightly before serving."
"Buffalo Wings";"Appetizer";"Chicken";"American";"Frying";"15 minutes";"25 minutes";"Preheat oil in a deep fryer or large pot. Toss chicken wings in a mixture of flour and spices. Fry in batches until crispy and cooked through. In a separate bowl, mix hot sauce and melted butter. Toss fried wings in the sauce. Serve with celery sticks and blue cheese dressing."
"Chili Con Carne";"Main Course";"Beef";"Mexican";"Simmering";"15 minutes";"45 minutes";"In a large pot, cook ground beef with onions and garlic until browned. Add chopped bell peppers, tomatoes, and kidney beans. Stir in chili powder, cumin, and paprika. Simmer for 30-40 minutes until thickened. Season with salt and pepper. Serve with cornbread or over rice."
"Chicken Caesar Wrap";"Snack";"Chicken";"American";"Rolling";"10 minutes";"10 minutes";"In a bowl, combine cooked chicken strips with Caesar dressing and Parmesan cheese. Place a tortilla on a flat surface and spread with a layer of Caesar dressing. Add the chicken mixture and some chopped romaine lettuce. Roll up tightly and cut in half. Serve immediately."
"Sweet and Sour Pork";"Main Course";"Pork";"Chinese";"Stir-Frying";"15 minutes";"20 minutes";"Cut pork into bite-sized pieces and coat with cornstarch. Fry in hot oil until golden brown. Remove and set aside. In the same pan, sauté bell peppers, onions, and pineapple chunks. Stir in sweet and sour sauce and add the pork back in. Cook until sauce thickens. Serve with rice."
"Eggplant Parmesan";"Main Course";"Eggplant";"Italian";"Baking";"20 minutes";"40 minutes";"Preheat oven to 200°C (400°F). Slice eggplant and coat with flour, egg, and breadcrumbs. Fry until golden brown. In a baking dish, layer eggplant slices with marinara sauce and mozzarella cheese. Bake for 30-35 minutes until bubbly and golden. Let cool before serving."
"Chicken Fajitas";"Main Course";"Chicken";"Mexican";"Grilling";"15 minutes";"20 minutes";"Slice chicken breasts and marinate in lime juice, oil, and fajita seasoning. Grill or cook in a skillet until cooked through. Slice bell peppers and onions, and cook in the same pan until tender. Serve with warm tortillas, salsa, guacamole, and sour cream."
"Garlic Mashed Potatoes";"Side Dish";"Potatoes";"American";"Boiling";"15 minutes";"20 minutes";"Peel and cut potatoes into chunks. Boil in salted water until tender. Drain and return to the pot. Mash with butter, cream, and minced garlic. Season with salt and pepper. Serve warm with a sprinkle of chopped parsley."
"Tom Yum Soup";"Appetizer";"Shrimp";"Thai";"Simmering";"10 minutes";"15 minutes";"In a pot, bring chicken broth to a boil. Add lemongrass, kaffir lime leaves, and galangal. Simmer for 5 minutes. Add shrimp and cook until pink. Stir in fish sauce, lime juice, and chili paste. Garnish with cilantro and serve hot."
"Beef Wellington";"Main Course";"Beef";"British";"Baking";"30 minutes";"50 minutes";"Preheat oven to 200°C (400°F). Sear beef fillet in a hot pan until browned. Let cool. Spread a layer of mushroom duxelles on a sheet of puff pastry. Place the beef on top and wrap in the pastry. Brush with egg wash and bake for 45 minutes. Let rest before slicing."
"Caprese Salad";"Appetizer";"Tomato";"Italian";"Tossing";"10 minutes";"0 minutes";"Arrange slices of fresh tomato and mozzarella cheese on a plate. Top with fresh basil leaves. Drizzle with olive oil and balsamic vinegar. Season with salt and pepper. Serve immediately."
"Beef Bourguignon";"Main Course";"Beef";"French";"Simmering";"20 minutes";"2 hours";"Preheat oven to 160°C (325°F). In a large pot, brown beef chunks. Remove and set aside. In the same pot, cook onions, carrots, and garlic until softened. Add red wine, beef broth, and tomato paste. Return beef to the pot and add bay leaves. Cover and bake for 1.5-2 hours. Serve with potatoes or crusty bread."
"Pesto Pasta";"Main Course";"Pasta";"Italian";"Boiling";"10 minutes";"15 minutes";"Cook pasta according to package instructions. In a food processor, blend basil, garlic, pine nuts, Parmesan cheese, and olive oil to make pesto. Toss cooked pasta with the pesto sauce. Serve with extra Parmesan cheese and pine nuts if desired."
"Shrimp Scampi";"Main Course";"Shrimp";"Italian";"Sautéing";"15 minutes";"20 minutes";"Cook pasta according to package instructions. In a skillet, heat butter and olive oil. Add garlic and cook until fragrant. Add shrimp and cook until pink. Stir in lemon juice, white wine, and parsley. Toss with cooked pasta and serve with lemon wedges."
"Apple Pie";"Dessert";"Apple";"American";"Baking";"30 minutes";"60 minutes";"Preheat oven to 220°C (425°F). Roll out pie crust and fit into a pie dish. Mix sliced apples with sugar, cinnamon, and flour. Pour into pie crust and top with another crust or lattice. Bake for 45-50 minutes until golden brown and apples are tender. Serve warm with vanilla ice cream."
"Chicken Pot Pie";"Main Course";"Chicken";"American";"Baking";"20 minutes";"40 minutes";"Preheat oven to 200°C (400°F). Cook chicken and vegetables in a skillet with butter and flour. Stir in chicken broth and cream. Pour mixture into a pie dish and top with pie crust. Bake for 35-40 minutes until crust is golden and filling is bubbly."
"Falafel";"Appetizer";"Chickpeas";"Middle Eastern";"Frying";"20 minutes";"30 minutes";"In a food processor, blend chickpeas with garlic, onions, cilantro, and spices. Form into balls and fry in hot oil until golden brown. Drain on paper towels. Serve with pita bread, hummus, and salad."
"Clam Chowder";"Main Course";"Clams";"American";"Simmering";"15 minutes";"30 minutes";"In a pot, cook bacon until crispy. Remove and set aside. In the same pot, sauté onions, celery, and garlic until softened. Add clams, potatoes, and clam juice. Simmer until potatoes are tender. Stir in cream and cook until heated through. Garnish with bacon and parsley."
"Spinach Artichoke Dip";"Appetizer";"Spinach";"American";"Baking";"10 minutes";"20 minutes";"Preheat oven to 180°C (350°F). Mix chopped spinach, artichoke hearts, cream cheese, sour cream, and Parmesan cheese in a bowl. Transfer to a baking dish and bake for 20 minutes until bubbly and golden. Serve with tortilla chips or bread."
"Jambalaya";"Main Course";"Rice";"Creole";"Simmering";"15 minutes";"45 minutes";"In a large pot, cook sausage and chicken until browned. Remove and set aside. In the same pot, sauté onions, bell peppers, and celery. Add rice, tomatoes, and chicken broth. Stir in spices and return meat to the pot. Simmer until rice is cooked. Garnish with green onions."
"Stuffed Bell Peppers";"Main Course";"Bell Peppers";"American";"Baking";"20 minutes";"30 minutes";"Preheat oven to 180°C (350°F). Cut tops off bell peppers and remove seeds. In a bowl, mix cooked rice, ground beef, onions, and tomato sauce. Stuff peppers with the mixture and place in a baking dish. Bake for 30 minutes until peppers are tender. Serve hot."
"Cheese Fondue";"Appetizer";"Cheese";"Swiss";"Melting";"10 minutes";"10 minutes";"In a fondue pot, heat white wine and add grated Swiss cheese in batches, stirring until melted. Add garlic and a splash of lemon juice. Serve with cubes of bread, vegetables, and fruit for dipping."
"Roasted Chicken";"Main Course";"Chicken";"American";"Roasting";"20 minutes";"60 minutes";"Preheat oven to 180°C (350°F). Rub chicken with olive oil, salt, pepper, and herbs. Roast in a baking dish for 50-60 minutes until internal temperature reaches 75°C (165°F). Let rest before carving. Serve with roasted vegetables or potatoes."
"Beef Kebabs";"Main Course";"Beef";"Middle Eastern";"Grilling";"15 minutes";"15 minutes";"Cut beef into chunks and marinate in olive oil, lemon juice, garlic, and spices. Thread onto skewers and grill over high heat until cooked to your liking. Serve with rice or flatbread and a side of yogurt sauce."
"Pumpkin Soup";"Appetizer";"Pumpkin";"American";"Simmering";"15 minutes";"30 minutes";"In a large pot, sauté onions and garlic until soft. Add chopped pumpkin and vegetable broth. Simmer until pumpkin is tender. Puree with an immersion blender until smooth. Stir in cream and season with salt and pepper. Serve warm with crusty bread."
"Chocolate Chip Cookies";"Dessert";"Chocolate";"American";"Baking";"15 minutes";"10 minutes";"Preheat oven to 180°C (350°F). Cream together butter, sugar, and brown sugar. Beat in eggs and vanilla extract. Gradually add flour, baking soda, and salt. Stir in chocolate chips. Drop spoonfuls of dough onto a baking sheet and bake for 10-12 minutes until edges are golden."
"Vegetarian Chili";"Main Course";"Beans";"American";"Simmering";"15 minutes";"30 minutes";"In a large pot, sauté onions, garlic, and bell peppers. Add canned tomatoes, kidney beans, black beans, and corn. Stir in chili powder, cumin, and paprika. Simmer for 30 minutes. Season with salt and pepper. Serve with cornbread or over rice."
"Beef Empanadas";"Appetizer";"Beef";"Latin American";"Baking";"30 minutes";"25 minutes";"Preheat oven to 200°C (400°F). Prepare dough and fill with a mixture of ground beef, onions, olives, and spices. Fold and seal edges, then bake for 20-25 minutes until golden brown. Serve with salsa or dipping sauce."
"Grilled Cheese Sandwich";"Snack";"Cheese";"American";"Grilling";"10 minutes";"10 minutes";"Butter slices of bread and place cheese between them. Grill in a skillet over medium heat until bread is golden and cheese is melted. Serve warm with tomato soup or salad."
"Banana Bread";"Dessert";"Banana";"American";"Baking";"15 minutes";"60 minutes";"Preheat oven to 175°C (350°F). Mash ripe bananas and mix with flour, sugar, eggs, and baking powder. Pour into a greased loaf pan and bake for 50-60 minutes until a toothpick inserted comes out clean. Let cool before slicing."
"Chicken Quesadillas";"Main Course";"Chicken";"Mexican";"Grilling";"10 minutes";"10 minutes";"In a skillet, cook chicken with spices until fully cooked. Remove and shred. Place tortillas in a pan, add cheese, chicken, and any other desired fillings. Cook until cheese is melted and tortillas are golden brown. Cut into wedges and serve with salsa."
"Avocado Toast";"Snack";"Avocado";"American";"Toasting";"5 minutes";"5 minutes";"Toast slices of bread. Spread with mashed avocado and season with salt, pepper, and a drizzle of olive oil. Top with sliced tomatoes, radishes, or a poached egg if desired. Serve immediately."
"Ratatouille";"Main Course";"Vegetables";"French";"Baking";"20 minutes";"50 minutes";"Preheat oven to 180°C (350°F). Slice vegetables (eggplant, zucchini, bell peppers) thinly. Arrange in a baking dish, layering with tomato sauce and herbs. Bake for 45-50 minutes until vegetables are tender. Serve warm or at room temperature."
"Crab Cakes";"Appetizer";"Crab";"American";"Frying";"20 minutes";"15 minutes";"Mix crab meat with breadcrumbs, mayonnaise, egg, and seasonings. Form into cakes and fry in hot oil until golden brown. Serve with a side of tartar sauce or aioli."
"Chicken Shawarma";"Main Course";"Chicken";"Middle Eastern";"Grilling";"20 minutes";"20 minutes";"Marinate chicken in a mixture of yogurt, lemon juice, and spices. Grill until cooked through. Serve in pita bread with lettuce, tomatoes, and tahini sauce."
"Macaroni and Cheese";"Main Course";"Pasta";"American";"Baking";"15 minutes";"30 minutes";"Cook macaroni according to package instructions. In a saucepan, make a cheese sauce with butter, flour, milk, and cheddar cheese. Mix with macaroni and pour into a baking dish. Top with more cheese and bake until bubbly and golden."
"Buffalo Chicken Dip";"Appetizer";"Chicken";"American";"Baking";"10 minutes";"20 minutes";"Mix shredded chicken with cream cheese, hot sauce, ranch dressing, and cheese. Transfer to a baking dish and bake until bubbly. Serve with tortilla chips or celery sticks."
"Turkey Meatballs";"Main Course";"Turkey";"American";"Baking";"15 minutes";"25 minutes";"Preheat oven to 180°C (350°F). Mix ground turkey with breadcrumbs, egg, and spices. Form into meatballs and bake for 20-25 minutes until cooked through. Serve with marinara sauce or as a meatball sub."
"Egg Drop Soup";"Appetizer";"Eggs";"Chinese";"Simmering";"10 minutes";"10 minutes";"Heat chicken broth in a pot. Slowly stir in beaten eggs and cook until eggs form ribbons. Add soy sauce and garnish with sliced green onions. Serve hot."
"Pulled Pork Sandwiches";"Main Course";"Pork";"American";"Slow Cooking";"15 minutes";"8 hours";"Season pork shoulder and cook in a slow cooker with BBQ sauce for 8 hours. Shred the meat and serve on buns with coleslaw and additional BBQ sauce."
"Frittata";"Main Course";"Eggs";"Italian";"Baking";"10 minutes";"25 minutes";"Preheat oven to 180°C (350°F). Sauté vegetables in a skillet. Whisk eggs with cheese and pour over the vegetables. Transfer to the oven and bake until set. Serve warm or at room temperature."
"Crème Brûlée";"Dessert";"Cream";"French";"Baking";"20 minutes";"45 minutes";"Preheat oven to 150°C (300°F). Whisk egg yolks with sugar and vanilla, then stir in cream. Pour into ramekins and bake in a water bath for 30-35 minutes. Cool and chill. Caramelize sugar on top with a torch before serving."
"Teriyaki Chicken";"Main Course";"Chicken";"Japanese";"Grilling";"15 minutes";"20 minutes";"Marinate chicken in teriyaki sauce and grill until cooked through. Serve with steamed rice and vegetables."
"Ratatouille";"Main Course";"Vegetables";"French";"Baking";"20 minutes";"50 minutes";"Preheat oven to 180°C (350°F). Slice vegetables (eggplant, zucchini, bell peppers) thinly. Arrange in a baking dish, layering with tomato sauce and herbs. Bake for 45-50 minutes until vegetables are tender. Serve warm or at room temperature."
"Chicken Kiev";"Main Course";"Chicken";"Ukrainian";"Baking";"20 minutes";"40 minutes";"Preheat oven to 200°C (400°F). Flatten chicken breasts and spread with a mixture of butter, garlic, and herbs. Roll up and coat with breadcrumbs. Bake for 30-35 minutes until cooked through and golden brown."
"Spaghetti Carbonara";"Main Course";"Pasta";"Italian";"Sautéing";"10 minutes";"20 minutes";"Cook pasta according to package instructions. In a skillet, cook pancetta or bacon until crispy. Whisk eggs and Parmesan cheese together. Toss cooked pasta with bacon and the egg mixture. Serve immediately with extra cheese and black pepper."
"Sweet Potato Fries";"Snack";"Sweet Potato";"American";"Baking";"10 minutes";"30 minutes";"Preheat oven to 220°C (425°F). Cut sweet potatoes into fries and toss with olive oil, salt, and paprika. Arrange on a baking sheet and bake for 25-30 minutes until crispy. Serve with dipping sauce."
"Pad Thai";"Main Course";"Noodles";"Thai";"Stir-Frying";"15 minutes";"15 minutes";"Soak rice noodles in warm water. In a pan, stir-fry tofu or shrimp with garlic and vegetables. Add soaked noodles, tamarind paste, fish sauce, and sugar. Cook until well combined. Garnish with peanuts, cilantro, and lime wedges."
"Banana Split";"Dessert";"Banana";"American";"Assembling";"10 minutes";"0 minutes";"Slice bananas lengthwise and place in a dish. Top with scoops of vanilla, chocolate, and strawberry ice cream. Drizzle with chocolate and strawberry sauces. Add whipped cream, nuts, and cherries on top."
"Chicken Marsala";"Main Course";"Chicken";"Italian";"Sautéing";"15 minutes";"25 minutes";"Pound chicken breasts and dredge in flour. Sauté in a skillet with butter until golden brown. Remove chicken and set aside. In the same pan, cook mushrooms, then add Marsala wine and chicken broth. Return chicken to the pan and simmer until cooked through. Serve with pasta or mashed potatoes."
"Beef Stir-Fry";"Main Course";"Beef";"Chinese";"Stir-Frying";"15 minutes";"15 minutes";"Heat oil in a wok or skillet. Stir-fry beef strips with vegetables (bell peppers, broccoli, carrots). Add soy sauce and oyster sauce. Cook until beef is tender and vegetables are crisp. Serve with rice or noodles."
"Eggplant Rollatini";"Main Course";"Eggplant";"Italian";"Baking";"20 minutes";"35 minutes";"Preheat oven to 180°C (350°F). Slice eggplant and bake until tender. Spread with ricotta cheese mixture and roll up. Place in a baking dish, cover with marinara sauce, and top with mozzarella cheese. Bake for 30-35 minutes until bubbly."
"Pumpkin Pie";"Dessert";"Pumpkin";"American";"Baking";"15 minutes";"60 minutes";"Preheat oven to 220°C (425°F). Mix pumpkin puree with eggs, cream, sugar, and spices. Pour into a pie crust and bake for 50-60 minutes until the filling is set. Serve with whipped cream."
"Chicken and Waffles";"Main Course";"Chicken";"American";"Frying";"20 minutes";"30 minutes";"Fry chicken pieces until crispy and cooked through. Prepare waffles according to package instructions or recipe. Serve chicken on top of waffles with maple syrup and butter."
"Shrimp Tacos";"Main Course";"Shrimp";"Mexican";"Grilling";"15 minutes";"15 minutes";"Marinate shrimp in lime juice, chili powder, and garlic. Grill until cooked through. Serve in tortillas with cabbage slaw, avocado, and a squeeze of lime."
"Crepes";"Dessert";"Flour";"French";"Grilling";"10 minutes";"10 minutes";"In a bowl, mix flour, eggs, milk, and a pinch of salt. Heat a non-stick pan and pour in a small amount of batter, tilting to spread evenly. Cook until golden and flip. Fill with sweet or savory fillings and serve rolled or folded."
"Buffalo Chicken Wings";"Appetizer";"Chicken";"American";"Frying";"15 minutes";"25 minutes";"Fry chicken wings until crispy. Toss with a mixture of hot sauce and melted butter. Serve with celery sticks and ranch dressing."
"Chocolate Mousse";"Dessert";"Chocolate";"French";"Chilling";"15 minutes";"2 hours";"Melt chocolate and let cool. Whip cream until stiff peaks form. Fold chocolate into whipped cream. Spoon into serving dishes and chill for at least 2 hours. Garnish with chocolate shavings."
"Teriyaki Beef";"Main Course";"Beef";"Japanese";"Grilling";"15 minutes";"20 minutes";"Marinate beef strips in teriyaki sauce. Grill until desired doneness. Serve with steamed rice and vegetables."
"Greek Moussaka";"Main Course";"Eggplant";"Greek";"Baking";"30 minutes";"60 minutes";"Layer sliced eggplant with a mixture of ground beef, onions, and tomatoes in a baking dish. Top with a béchamel sauce and bake until golden and bubbly."
"Salmon Sushi";"Appetizer";"Salmon";"Japanese";"Rolling";"20 minutes";"0 minutes";"Place a sheet of nori on a bamboo mat. Spread a thin layer of sushi rice, then add slices of salmon, cucumber, and avocado. Roll tightly and slice into pieces. Serve with soy sauce, pickled ginger, and wasabi."
"Cauliflower Rice";"Side Dish";"Cauliflower";"American";"Sautéing";"10 minutes";"10 minutes";"Grate cauliflower or pulse in a food processor until rice-sized. Sauté in a pan with oil until tender. Season with salt and pepper. Serve as a low-carb alternative to rice."
"French Onion Soup";"Appetizer";"Onions";"French";"Simmering";"20 minutes";"30 minutes";"Cook sliced onions in butter until caramelized. Add beef broth and simmer. Serve hot, topped with toasted baguette slices and melted Gruyère cheese."
"Eggplant Parmesan";"Main Course";"Eggplant";"Italian";"Baking";"20 minutes";"40 minutes";"Bread and fry eggplant slices. Layer with marinara sauce and mozzarella cheese in a baking dish. Bake until bubbly and golden."
"Chicken Enchiladas";"Main Course";"Chicken";"Mexican";"Baking";"20 minutes";"30 minutes";"Fill tortillas with shredded chicken, cheese, and enchilada sauce. Roll up and place in a baking dish. Top with more sauce and cheese. Bake until bubbly."
"Carrot Cake";"Dessert";"Carrots";"American";"Baking";"20 minutes";"40 minutes";"Mix grated carrots with flour, sugar, eggs, and spices. Bake in a greased pan. Cool and frost with cream cheese icing."
"Salmon Teriyaki";"Main Course";"Salmon";"Japanese";"Grilling";"15 minutes";"15 minutes";"Marinate salmon in teriyaki sauce. Grill until cooked through. Serve with rice and vegetables."
"Quinoa Salad";"Side Dish";"Quinoa";"American";"Tossing";"15 minutes";"0 minutes";"Cook quinoa according to package instructions. Mix with diced vegetables, feta cheese, and a vinaigrette dressing. Serve chilled or at room temperature."
"Lemon Bars";"Dessert";"Lemon";"American";"Baking";"15 minutes";"30 minutes";"Preheat oven to 180°C (350°F). Prepare a crust with flour, butter, and sugar. Bake until golden. Mix lemon juice, eggs, and sugar for filling. Pour over crust and bake until set. Cool and cut into bars."
"Chicken Tikka Masala";"Main Course";"Chicken";"Indian";"Simmering";"20 minutes";"30 minutes";"Marinate chicken in yogurt and spices. Cook in a sauce of tomatoes, cream, and spices until chicken is tender. Serve with rice or naan bread."
"Chili Con Carne";"Main Course";"Beef";"Tex-Mex";"Simmering";"15 minutes";"45 minutes";"Cook ground beef with onions, garlic, and spices. Add tomatoes, kidney beans, and beef broth. Simmer until flavors meld. Serve with cornbread or rice."
"Lentil Soup";"Appetizer";"Lentils";"American";"Simmering";"15 minutes";"30 minutes";"Sauté onions, garlic, and carrots. Add lentils, vegetable broth, and spices. Simmer until lentils are tender. Serve hot with crusty bread."
"Beef Stroganoff";"Main Course";"Beef";"Russian";"Sautéing";"15 minutes";"20 minutes";"Sauté beef strips with onions and mushrooms. Add beef broth and sour cream, and simmer until beef is tender. Serve over egg noodles or rice."
"Falafel";"Appetizer";"Chickpeas";"Middle Eastern";"Frying";"20 minutes";"30 minutes";"In a food processor, blend chickpeas with garlic, onions, cilantro, and spices. Form into balls and fry in hot oil until golden brown. Drain on paper towels. Serve with pita bread, hummus, and salad."
"Chicken Alfredo";"Main Course";"Chicken";"Italian";"Sautéing";"15 minutes";"20 minutes";"Cook chicken and pasta according to package instructions. In a skillet, make Alfredo sauce with butter, cream, and Parmesan cheese. Toss with chicken and pasta. Serve hot with extra cheese."
"Pancakes";"Breakfast";"Flour";"American";"Grilling";"10 minutes";"10 minutes";"Mix flour, milk, eggs, and baking powder. Pour batter onto a hot griddle and cook until bubbles form. Flip and cook until golden brown. Serve with syrup and butter."
"Grilled Shrimp";"Appetizer";"Shrimp";"American";"Grilling";"15 minutes";"5 minutes";"Marinate shrimp in olive oil, garlic, and lemon juice. Skewer and grill until pink and cooked through. Serve with a squeeze of lemon."
"Vegetable Stir-Fry";"Main Course";"Vegetables";"Chinese";"Stir-Frying";"10 minutes";"10 minutes";"Stir-fry a mix of vegetables (bell peppers, broccoli, carrots) in oil. Add soy sauce and garlic. Cook until vegetables are crisp-tender. Serve with rice or noodles."
"Chicken Parmesan";"Main Course";"Chicken";"Italian";"Baking";"20 minutes";"30 minutes";"Bread and fry chicken breasts. Place in a baking dish, cover with marinara sauce, and top with mozzarella cheese. Bake until cheese is melted and bubbly."
"Beef Tacos";"Main Course";"Beef";"Mexican";"Grilling";"15 minutes";"15 minutes";"Cook ground beef with taco seasoning. Serve in tortillas with toppings like lettuce, cheese, and salsa."
"Tiramisu";"Dessert";"Coffee";"Italian";"Chilling";"30 minutes";"4 hours";"Mix mascarpone cheese with sugar and eggs. Layer with coffee-soaked ladyfingers. Chill for at least 4 hours. Dust with cocoa powder before serving."
